tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,postal code,year,month,birth year,gender
306,01/11/2020 00:17:11,01/11/2020 00:22:17,177,University Park,42.36264779,-71.10006094,177,University Park,42.36264779,-71.10006094,5983,Subscriber,2145,2020,11,,
280,01/11/2020 00:17:33,01/11/2020 00:22:13,177,University Park,42.36264779,-71.10006094,177,University Park,42.36264779,-71.10006094,3386,Subscriber,2142,2020,11,,
452,01/11/2020 00:18:19,01/11/2020 00:25:51,105,Lower Cambridgeport at Magazine St / Riverside Rd,42.3572185,-71.11387163,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,2379,Customer,2139,2020,11,,
360,01/11/2020 00:18:21,01/11/2020 00:24:21,157,Seaport Blvd at Sleeper St,42.35317809,-71.04817357,20,Aquarium T Stop - 200 Atlantic Ave,42.35991176,-71.05142981,5816,Customer,2128,2020,11,,
375,01/11/2020 00:18:28,01/11/2020 00:24:44,157,Seaport Blvd at Sleeper St,42.35317809,-71.04817357,20,Aquarium T Stop - 200 Atlantic Ave,42.35991176,-71.05142981,4103,Customer,2128,2020,11,,
327,01/11/2020 00:18:49,01/11/2020 00:24:16,157,Seaport Blvd at Sleeper St,42.35317809,-71.04817357,20,Aquarium T Stop - 200 Atlantic Ave,42.35991176,-71.05142981,5280,Customer,2128,2020,11,,
416,01/11/2020 00:21:54,01/11/2020 00:28:51,345,Park Plaza at Charles St S.,42.35182807,-71.06781138,52,Newbury St at Hereford St,42.348717,-71.085954,6365,Customer,,2020,11,,
262,01/11/2020 00:22:31,01/11/2020 00:26:54,33,Kenmore Square,42.348706,-71.097009,32,Landmark Center - Brookline Ave at Park Dr,42.34369056,-71.10235287,3485,Customer,79902,2020,11,,
1262,01/11/2020 00:24:33,01/11/2020 00:45:35,102,Powder House Circle - Nathan Tufts Park,42.400877,-71.116772,71,Conway Park - Somerville Avenue,42.383405,-71.107593,4346,Customer,34211,2020,11,,
1261,01/11/2020 00:24:33,01/11/2020 00:45:35,102,Powder House Circle - Nathan Tufts Park,42.400877,-71.116772,71,Conway Park - Somerville Avenue,42.383405,-71.107593,3587,Customer,34211,2020,11,,
359,01/11/2020 00:24:47,01/11/2020 00:30:46,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,5664,Customer,2139,2020,11,,
424,01/11/2020 00:24:53,01/11/2020 00:31:57,80,MIT Stata Center at Vassar St / Main St,42.36213123,-71.09115601,437,Berkshire Street at Cambridge Street,42.37207658,-71.08995434,5470,Customer,2139,2020,11,,
401,01/11/2020 00:25:07,01/11/2020 00:31:48,9,Commonwealth Ave at Agganis Way,42.35169202,-71.11903489,19,Park Dr at Buswell St,42.347241,-71.105301,2979,Subscriber,10462,2020,11,,
